FIPS,2010 MR,2011 MR,2012 MR,2013 MR,2014 MR,2015 MR,2016 MR,2017 MR,2018 MR,2019 MR,2020 MR,2021 MR,2022 MR
36039,8.62,12.1,22.6,13.51,22.93,21.0,25.26,27.39,31.58,18.88,31.8,51.55,27.05
36041,0.0,0.0,0.0,0.0,11.28,0.0,12.18,0.0,0.0,0.0,22.43,23.0,24.9
36043,4.49,5.5,0.0,7.94,13.04,9.88,18.71,17.11,14.53,12.65,21.33,16.68,26.75
36045,9.83,15.27,10.81,10.88,14.27,12.75,22.81,19.27,11.63,15.48,32.38,23.22,19.72
36047,7.19,7.54,8.03,7.45,8.47,9.37,12.7,14.27,11.62,13.24,18.31,23.85,28.76
36049,8.97,12.0,7.81,12.73,14.38,15.41,21.2,45.2,15.64,22.85,26.53,27.06,28.07
36051,9.51,11.42,15.43,13.24,10.23,17.63,20.38,22.09,30.05,15.89,30.45,26.68,24.38
36053,8.54,10.13,10.26,10.9,16.58,19.63,19.63,22.42,16.95,27.05,19.86,28.08,23.85
36055,8.46,9.39,10.83,12.81,14.94,13.74,17.39,27.55,30.3,30.33,36.71,25.95,44.01
36057,5.09,6.7,2.61,8.23,9.37,9.03,20.29,13.69,24.26,13.42,22.44,26.23,20.15
36059,7.54,11.01,11.71,12.57,12.73,14.84,15.35,16.79,13.62,15.55,19.61,19.99,18.07
36061,6.24,7.93,11.55,11.13,10.15,10.15,16.43,15.38,17.19,19.95,24.57,31.33,31.95
36063,13.86,11.11,15.8,17.27,16.86,24.45,24.08,22.71,23.76,22.94,35.51,41.58,42.2
36065,7.24,6.83,7.28,11.99,17.61,17.2,25.52,25.5,19.17,24.05,31.23,35.61,36.71
36067,8.56,9.64,12.85,14.3,16.66,20.71,31.96,20.41,21.87,27.79,33.75,41.21,38.01
36069,6.61,11.96,14.53,11.92,12.76,10.04,18.21,20.02,20.02,20.95,13.63,18.67,14.2
36071,14.22,13.87,13.88,16.51,18.35,18.8,21.36,25.12,32.2,22.86,31.93,36.34,33.26
36073,11.16,10.25,13.32,15.04,15.9,18.95,22.94,24.81,30.19,25.9,35.77,33.76,38.59
36075,9.83,13.91,13.15,17.33,14.89,19.98,21.01,20.26,16.12,29.03,30.94,36.63,32.13
36077,8.18,9.68,4.95,10.82,13.1,15.77,23.3,16.64,22.73,23.39,20.44,30.97,28.04
36079,9.79,10.01,16.06,19.07,16.08,18.17,23.26,33.22,24.27,16.27,19.28,23.48,25.5
36081,5.92,6.36,5.85,7.84,6.5,6.97,11.27,12.04,11.63,11.71,18.29,18.49,23.49
36083,8.15,12.31,10.01,11.88,6.26,13.1,7.5,13.15,13.8,16.38,24.67,28.71,28.78
36085,14.72,16.79,18.48,16.08,17.96,17.91,27.1,24.4,25.83,25.2,29.45,34.25,34.21
36087,5.45,6.03,6.61,10.6,6.79,11.35,13.46,13.08,11.97,17.5,15.63,22.11,15.04
36089,6.27,8.14,7.59,10.72,10.77,11.71,15.45,14.6,7.46,10.9,16.79,23.14,25.06
36091,4.21,6.34,4.95,8.49,11.12,10.17,5.73,8.27,13.03,7.4,18.24,16.85,16.33
36093,8.55,8.38,6.45,12.23,7.82,11.0,22.0,25.71,18.67,19.96,21.88,32.89,30.61
36095,8.34,10.12,0.0,11.42,0.0,13.17,21.26,21.57,24.13,20.68,26.96,33.49,28.51
36097,0.0,13.28,17.51,14.22,0.0,14.61,0.0,23.06,17.28,24.65,23.78,29.1,36.18
36099,5.21,12.93,14.79,14.43,8.94,15.06,14.41,23.89,19.13,20.65,24.51,24.1,28.59
36101,6.59,13.54,16.79,14.13,13.21,16.02,18.57,16.62,12.53,13.63,16.9,24.75,31.32
36103,13.33,18.61,19.21,18.27,17.37,18.45,25.46,32.08,26.74,21.87,28.62,35.71,35.99
36105,15.43,40.31,18.23,24.78,27.65,26.71,25.4,41.07,45.03,45.07,72.56,52.63,64.02
36107,11.01,13.63,16.68,15.82,28.07,18.91,27.18,20.59,22.1,27.0,30.0,33.42,37.72
36109,7.22,10.81,13.65,12.63,14.33,13.34,20.98,20.99,15.57,19.57,21.77,22.82,30.54
36111,7.67,13.7,12.65,14.36,12.19,18.32,32.92,30.1,36.39,21.96,45.02,40.99,42.23
36113,0.0,3.17,2.48,4.24,11.2,5.08,11.43,4.14,6.52,3.7,28.23,18.29,15.24
36115,4.24,11.79,10.58,11.26,12.05,13.07,16.39,14.41,22.03,16.85,28.05,16.41,42.73
36117,8.46,12.22,12.95,14.53,12.85,15.16,11.01,25.74,23.32,14.46,21.27,20.9,34.02
36119,5.06,9.52,9.88,10.94,9.66,11.57,14.88,14.79,17.05,11.78,17.91,19.24,20.09
36121,9.56,11.47,12.68,14.38,0.0,23.57,26.52,22.54,25.85,20.67,29.18,31.09,27.73
36123,0.0,13.28,16.37,13.53,8.66,12.55,12.8,20.9,17.24,19.97,19.71,24.16,27.57
37001,6.62,13.7,14.29,11.66,13.48,10.11,11.9,28.33,23.43,20.65,25.68,36.81,32.89
37003,26.88,26.96,19.45,19.74,25.39,37.51,31.91,25.14,22.22,20.27,25.8,41.66,30.13
